date,state,total_cases,total_deaths
28/4/2020,PERLIS,18,1
28/4/2020,KEDAH,95,1
28/4/2020,PULAU PINANG,121,1
28/4/2020,PERAK,253,6
28/4/2020,SELANGOR,1403,11
28/4/2020,NEGERI SEMBILAN,436,7
28/4/2020,MELAKA,193,4
28/4/2020,JOHOR,660,18
28/4/2020,PAHANG,288,3
28/4/2020,TERENGGANU,110,1
28/4/2020,KELANTAN,155,3
28/4/2020,SABAH,313,4
28/4/2020,SARAWAK,496,16
28/4/2020,WP KUALA LUMPUR,1214,23
28/4/2020,WP PUTRAJAYA,80,0
28/4/2020,WP LABUAN,16,0
29/4/2020,PERLIS,18,1
29/4/2020,KEDAH,95,1
29/4/2020,PULAU PINANG,121,1
29/4/2020,PERAK,253,6
29/4/2020,SELANGOR,1404,11
29/4/2020,NEGERI SEMBILAN,508,7
29/4/2020,MELAKA,193,4
29/4/2020,JOHOR,660,18
29/4/2020,PAHANG,293,3
29/4/2020,TERENGGANU,110,1
29/4/2020,KELANTAN,155,3
29/4/2020,SABAH,315,4
29/4/2020,SARAWAK,502,16
29/4/2020,WP KUALA LUMPUR,1222,23
29/4/2020,WP PUTRAJAYA,80,0
29/4/2020,WP LABUAN,16,0
30/4/2020,PERLIS,18,1
30/4/2020,KEDAH,95,1
30/4/2020,PULAU PINANG,121,1
30/4/2020,PERAK,253,6
30/4/2020,SELANGOR,1431,11
30/4/2020,NEGERI SEMBILAN,513,7
30/4/2020,MELAKA,198,4
30/4/2020,JOHOR,663,18
30/4/2020,PAHANG,294,4
30/4/2020,TERENGGANU,110,1
30/4/2020,KELANTAN,155,3
30/4/2020,SABAH,315,4
30/4/2020,SARAWAK,507,17
30/4/2020,WP KUALA LUMPUR,1232,23
30/4/2020,WP PUTRAJAYA,81,0
30/4/2020,WP LABUAN,16,0
1/5/2020,PERLIS,18,1
1/5/2020,KEDAH,95,1
1/5/2020,PULAU PINANG,121,1
1/5/2020,PERAK,253,6
1/5/2020,SELANGOR,1455,11
1/5/2020,NEGERI SEMBILAN,513,7
1/5/2020,MELAKA,199,4
1/5/2020,JOHOR,666,18
1/5/2020,PAHANG,297,4
1/5/2020,TERENGGANU,110,1
1/5/2020,KELANTAN,155,3
1/5/2020,SABAH,315,4
1/5/2020,SARAWAK,509,17
1/5/2020,WP KUALA LUMPUR,1264,24
1/5/2020,WP PUTRAJAYA,85,0
1/5/2020,WP LABUAN,16,0
2/5/2020,PERLIS,18,1
2/5/2020,KEDAH,95,1
2/5/2020,PULAU PINANG,121,1
2/5/2020,PERAK,253,6
2/5/2020,SELANGOR,1518,11
2/5/2020,NEGERI SEMBILAN,521,7
2/5/2020,MELAKA,201,4
2/5/2020,JOHOR,667,18
2/5/2020,PAHANG,305,4
2/5/2020,TERENGGANU,110,1
2/5/2020,KELANTAN,155,3
2/5/2020,SABAH,315,4
2/5/2020,SARAWAK,518,17
2/5/2020,WP KUALA LUMPUR,1278,24
2/5/2020,WP PUTRAJAYA,85,0
2/5/2020,WP LABUAN,16,0
3/5/2020,PERLIS,18,1
3/5/2020,KEDAH,95,1
3/5/2020,PULAU PINANG,121,1
3/5/2020,PERAK,253,6
3/5/2020,SELANGOR,1529,12
3/5/2020,NEGERI SEMBILAN,592,7
3/5/2020,MELAKA,204,4
3/5/2020,JOHOR,667,18
3/5/2020,PAHANG,305,4
3/5/2020,TERENGGANU,110,1
3/5/2020,KELANTAN,155,3
3/5/2020,SABAH,316,4
3/5/2020,SARAWAK,523,17
3/5/2020,WP KUALA LUMPUR,1308,24
3/5/2020,WP PUTRAJAYA,86,0
3/5/2020,WP LABUAN,16,0
4/5/2020,PERLIS,18,1
4/5/2020,KEDAH,95,1
4/5/2020,PULAU PINANG,121,1
4/5/2020,PERAK,253,6
4/5/2020,SELANGOR,1550,12
4/5/2020,NEGERI SEMBILAN,598,7
4/5/2020,MELAKA,207,4
4/5/2020,JOHOR,667,18
4/5/2020,PAHANG,305,4
4/5/2020,TERENGGANU,110,1
4/5/2020,KELANTAN,155,3
4/5/2020,SABAH,316,4
4/5/2020,SARAWAK,523,17
4/5/2020,WP KUALA LUMPUR,1333,24
4/5/2020,WP PUTRAJAYA,86,0
4/5/2020,WP LABUAN,16,0
5/5/2020,PERLIS,18,1
5/5/2020,KEDAH,95,1
5/5/2020,PULAU PINANG,121,1
5/5/2020,PERAK,253,6
5/5/2020,SELANGOR,1555,13
5/5/2020,NEGERI SEMBILAN,598,7
5/5/2020,MELAKA,207,4
5/5/2020,JOHOR,667,18
5/5/2020,PAHANG,305,4
5/5/2020,TERENGGANU,110,1
5/5/2020,KELANTAN,155,3
5/5/2020,SABAH,316,4
5/5/2020,SARAWAK,525,17
5/5/2020,WP KUALA LUMPUR,1356,24
5/5/2020,WP PUTRAJAYA,86,0
5/5/2020,WP LABUAN,16,0
6/5/2020,PERLIS,18,1
6/5/2020,KEDAH,95,1
6/5/2020,PULAU PINANG,121,1
6/5/2020,PERAK,253,6
6/5/2020,SELANGOR,1564,14
6/5/2020,NEGERI SEMBILAN,600,7
6/5/2020,MELAKA,208,4
6/5/2020,JOHOR,667,18
6/5/2020,PAHANG,305,4
6/5/2020,TERENGGANU,110,1
6/5/2020,KELANTAN,155,3
6/5/2020,SABAH,316,4
6/5/2020,SARAWAK,536,17
6/5/2020,WP KUALA LUMPUR,1378,24
6/5/2020,WP PUTRAJAYA,86,0
6/5/2020,WP LABUAN,16,0
7/5/2020,PERLIS,18,1
7/5/2020,KEDAH,95,1
7/5/2020,PULAU PINANG,121,1
7/5/2020,PERAK,253,6
7/5/2020,SELANGOR,1580,14
7/5/2020,NEGERI SEMBILAN,600,7
7/5/2020,MELAKA,209,4
7/5/2020,JOHOR,667,18
7/5/2020,PAHANG,305,4
7/5/2020,TERENGGANU,110,1
7/5/2020,KELANTAN,155,3
7/5/2020,SABAH,317,4
7/5/2020,SARAWAK,537,17
7/5/2020,WP KUALA LUMPUR,1398,24
7/5/2020,WP PUTRAJAYA,86,0
7/5/2020,WP LABUAN,16,0
8/5/2020,PERLIS,18,1
8/5/2020,KEDAH,95,1
8/5/2020,PULAU PINANG,121,1
8/5/2020,PERAK,253,6
8/5/2020,SELANGOR,1586,14
8/5/2020,NEGERI SEMBILAN,653,7
8/5/2020,MELAKA,209,4
8/5/2020,JOHOR,667,18
8/5/2020,PAHANG,306,4
8/5/2020,TERENGGANU,110,1
8/5/2020,KELANTAN,155,3
8/5/2020,SABAH,317,4
8/5/2020,SARAWAK,538,17
8/5/2020,WP KUALA LUMPUR,1404,24
8/5/2020,WP PUTRAJAYA,87,0
8/5/2020,WP LABUAN,16,0
9/5/2020,PERLIS,18,1
9/5/2020,KEDAH,95,1
9/5/2020,PULAU PINANG,121,1
9/5/2020,PERAK,253,6
9/5/2020,SELANGOR,1596,14
9/5/2020,NEGERI SEMBILAN,681,7
9/5/2020,MELAKA,210,5
9/5/2020,JOHOR,667,18
9/5/2020,PAHANG,306,4
9/5/2020,TERENGGANU,110,1
9/5/2020,KELANTAN,155,3
9/5/2020,SABAH,317,4
9/5/2020,SARAWAK,542,17
9/5/2020,WP KUALA LUMPUR,1414,24
9/5/2020,WP PUTRAJAYA,88,0
9/5/2020,WP LABUAN,16,0
10/5/2020,PERLIS,18,1
10/5/2020,KEDAH,95,1
10/5/2020,PULAU PINANG,121,1
10/5/2020,PERAK,255,6
10/5/2020,SELANGOR,1604,14
10/5/2020,NEGERI SEMBILAN,726,7
10/5/2020,MELAKA,210,5
10/5/2020,JOHOR,667,18
10/5/2020,PAHANG,308,4
10/5/2020,TERENGGANU,110,1
10/5/2020,KELANTAN,155,3
10/5/2020,SABAH,317,4
10/5/2020,SARAWAK,543,17
10/5/2020,WP KUALA LUMPUR,1423,24
10/5/2020,WP PUTRAJAYA,88,0
10/5/2020,WP LABUAN,16,0
11/5/2020,PERLIS,18,1
11/5/2020,KEDAH,95,1
11/5/2020,PULAU PINANG,121,1
11/5/2020,PERAK,255,6
11/5/2020,SELANGOR,1607,14
11/5/2020,NEGERI SEMBILAN,742,7
11/5/2020,MELAKA,211,5
11/5/2020,JOHOR,667,18
11/5/2020,PAHANG,312,4
11/5/2020,TERENGGANU,110,1
11/5/2020,KELANTAN,155,3
11/5/2020,SABAH,327,4
11/5/2020,SARAWAK,543,17
11/5/2020,WP KUALA LUMPUR,1458,25
11/5/2020,WP PUTRAJAYA,89,0
11/5/2020,WP LABUAN,16,0
12/5/2020,PERLIS,18,1
12/5/2020,KEDAH,95,1
12/5/2020,PULAU PINANG,121,1
12/5/2020,PERAK,255,6
12/5/2020,SELANGOR,1610,14
12/5/2020,NEGERI SEMBILAN,742,7
12/5/2020,MELAKA,211,5
12/5/2020,JOHOR,667,18
12/5/2020,PAHANG,312,4
12/5/2020,TERENGGANU,110,1
12/5/2020,KELANTAN,155,3
12/5/2020,SABAH,328,4
12/5/2020,SARAWAK,543,17
12/5/2020,WP KUALA LUMPUR,1470,25
12/5/2020,WP PUTRAJAYA,89,0
12/5/2020,WP LABUAN,16,0
13/5/2020,PERLIS,18,1
13/5/2020,KEDAH,95,1
13/5/2020,PULAU PINANG,121,1
13/5/2020,PERAK,255,6
13/5/2020,SELANGOR,1612,14
13/5/2020,NEGERI SEMBILAN,764,7
13/5/2020,MELAKA,213,5
13/5/2020,JOHOR,667,19
13/5/2020,PAHANG,315,5
13/5/2020,TERENGGANU,110,1
13/5/2020,KELANTAN,155,3
13/5/2020,SABAH,330,4
13/5/2020,SARAWAK,544,17
13/5/2020,WP KUALA LUMPUR,1475,25
13/5/2020,WP PUTRAJAYA,89,0
13/5/2020,WP LABUAN,16,0
14/5/2020,PERLIS,18,1
14/5/2020,KEDAH,95,1
14/5/2020,PULAU PINANG,121,1
14/5/2020,PERAK,255,6
14/5/2020,SELANGOR,1613,14
14/5/2020,NEGERI SEMBILAN,775,7
14/5/2020,MELAKA,214,5
14/5/2020,JOHOR,668,19
14/5/2020,PAHANG,323,6
14/5/2020,TERENGGANU,110,1
14/5/2020,KELANTAN,155,3
14/5/2020,SABAH,330,4
14/5/2020,SARAWAK,544,17
14/5/2020,WP KUALA LUMPUR,1493,25
14/5/2020,WP PUTRAJAYA,89,0
14/5/2020,WP LABUAN,16,0
15/5/2020,PERLIS,18,1
15/5/2020,KEDAH,95,1
15/5/2020,PULAU PINANG,121,1
15/5/2020,PERAK,255,6
15/5/2020,SELANGOR,1627,14
15/5/2020,NEGERI SEMBILAN,776,7
15/5/2020,MELAKA,215,5
15/5/2020,JOHOR,668,19
15/5/2020,PAHANG,328,6
15/5/2020,TERENGGANU,110,1
15/5/2020,KELANTAN,155,3
15/5/2020,SABAH,330,4
15/5/2020,SARAWAK,544,17
15/5/2020,WP KUALA LUMPUR,1508,25
15/5/2020,WP PUTRAJAYA,89,0
15/5/2020,WP LABUAN,16,0
16/5/2020,PERLIS,18,1
16/5/2020,KEDAH,95,1
16/5/2020,PULAU PINANG,121,1
16/5/2020,PERAK,255,6
16/5/2020,SELANGOR,1628,14
16/5/2020,NEGERI SEMBILAN,776,7
16/5/2020,MELAKA,215,5
16/5/2020,JOHOR,668,19
16/5/2020,PAHANG,335,6
16/5/2020,TERENGGANU,110,1
16/5/2020,KELANTAN,155,3
16/5/2020,SABAH,331,5
16/5/2020,SARAWAK,544,17
16/5/2020,WP KUALA LUMPUR,1515,25
16/5/2020,WP PUTRAJAYA,90,0
16/5/2020,WP LABUAN,16,0
17/5/2020,PERLIS,18,1
17/5/2020,KEDAH,95,1
17/5/2020,PULAU PINANG,121,1
17/5/2020,PERAK,255,6
17/5/2020,SELANGOR,1636,14
17/5/2020,NEGERI SEMBILAN,776,7
17/5/2020,MELAKA,215,5
17/5/2020,JOHOR,668,19
17/5/2020,PAHANG,336,6
17/5/2020,TERENGGANU,110,1
17/5/2020,KELANTAN,155,3
17/5/2020,SABAH,331,5
17/5/2020,SARAWAK,544,17
17/5/2020,WP KUALA LUMPUR,1528,25
17/5/2020,WP PUTRAJAYA,90,0
17/5/2020,WP LABUAN,16,0
18/5/2020,PERLIS,18,1
18/5/2020,KEDAH,95,1
18/5/2020,PULAU PINANG,121,1
18/5/2020,PERAK,255,6
18/5/2020,SELANGOR,1644,14
18/5/2020,NEGERI SEMBILAN,776,7
18/5/2020,MELAKA,215,5
18/5/2020,JOHOR,668,19
18/5/2020,PAHANG,336,6
18/5/2020,TERENGGANU,110,1
18/5/2020,KELANTAN,155,3
18/5/2020,SABAH,331,5
18/5/2020,SARAWAK,544,17
18/5/2020,WP KUALA LUMPUR,1566,25
18/5/2020,WP PUTRAJAYA,91,0
18/5/2020,WP LABUAN,16,0
19/5/2020,PERLIS,18,1
19/5/2020,KEDAH,95,1
19/5/2020,PULAU PINANG,121,1
19/5/2020,PERAK,255,6
19/5/2020,SELANGOR,1650,14
19/5/2020,NEGERI SEMBILAN,776,7
19/5/2020,MELAKA,215,5
19/5/2020,JOHOR,669,19
19/5/2020,PAHANG,338,7
19/5/2020,TERENGGANU,110,1
19/5/2020,KELANTAN,155,3
19/5/2020,SABAH,337,5
19/5/2020,SARAWAK,544,17
19/5/2020,WP KUALA LUMPUR,1588,25
19/5/2020,WP PUTRAJAYA,91,0
19/5/2020,WP LABUAN,16,0
20/5/2020,PERLIS,18,1
20/5/2020,KEDAH,96,1
20/5/2020,PULAU PINANG,121,1
20/5/2020,PERAK,255,6
20/5/2020,SELANGOR,1665,14
20/5/2020,NEGERI SEMBILAN,776,7
20/5/2020,MELAKA,215,5
20/5/2020,JOHOR,669,19
20/5/2020,PAHANG,338,7
20/5/2020,TERENGGANU,111,1
20/5/2020,KELANTAN,156,3
20/5/2020,SABAH,338,5
20/5/2020,SARAWAK,544,17
20/5/2020,WP KUALA LUMPUR,1598,25
20/5/2020,WP PUTRAJAYA,93,0
20/5/2020,WP LABUAN,16,0
21/5/2020,PERLIS,18,1
21/5/2020,KEDAH,96,1
21/5/2020,PULAU PINANG,121,1
21/5/2020,PERAK,255,6
21/5/2020,SELANGOR,1673,14
21/5/2020,NEGERI SEMBILAN,778,7
21/5/2020,MELAKA,215,5
21/5/2020,JOHOR,669,19
21/5/2020,PAHANG,339,7
21/5/2020,TERENGGANU,111,1
21/5/2020,KELANTAN,156,3
21/5/2020,SABAH,338,5
21/5/2020,SARAWAK,544,17
21/5/2020,WP KUALA LUMPUR,1637,25
21/5/2020,WP PUTRAJAYA,93,0
21/5/2020,WP LABUAN,16,0
22/5/2020,PERLIS,18,1
22/5/2020,KEDAH,96,1
22/5/2020,PULAU PINANG,121,1
22/5/2020,PERAK,255,6
22/5/2020,SELANGOR,1693,15
22/5/2020,NEGERI SEMBILAN,791,7
22/5/2020,MELAKA,216,5
22/5/2020,JOHOR,669,19
22/5/2020,PAHANG,341,7
22/5/2020,TERENGGANU,111,1
22/5/2020,KELANTAN,156,3
22/5/2020,SABAH,340,5
22/5/2020,SARAWAK,545,17
22/5/2020,WP KUALA LUMPUR,1676,25
22/5/2020,WP PUTRAJAYA,93,0
22/5/2020,WP LABUAN,16,0
23/5/2020,PERLIS,18,1
23/5/2020,KEDAH,96,1
23/5/2020,PULAU PINANG,121,1
23/5/2020,PERAK,255,6
23/5/2020,SELANGOR,1730,15
23/5/2020,NEGERI SEMBILAN,792,7
23/5/2020,MELAKA,216,5
23/5/2020,JOHOR,670,19
23/5/2020,PAHANG,344,7
23/5/2020,TERENGGANU,111,1
23/5/2020,KELANTAN,156,3
23/5/2020,SABAH,341,5
23/5/2020,SARAWAK,545,17
23/5/2020,WP KUALA LUMPUR,1681,25
23/5/2020,WP PUTRAJAYA,93,0
23/5/2020,WP LABUAN,16,0
24/5/2020,PERLIS,18,1
24/5/2020,KEDAH,96,1
24/5/2020,PULAU PINANG,121,1
24/5/2020,PERAK,255,6
24/5/2020,SELANGOR,1776,15
24/5/2020,NEGERI SEMBILAN,792,7
24/5/2020,MELAKA,216,5
24/5/2020,JOHOR,671,19
24/5/2020,PAHANG,344,7
24/5/2020,TERENGGANU,111,1
24/5/2020,KELANTAN,156,3
24/5/2020,SABAH,343,5
24/5/2020,SARAWAK,545,17
24/5/2020,WP KUALA LUMPUR,1692,25
24/5/2020,WP PUTRAJAYA,93,0
24/5/2020,WP LABUAN,16,0
25/5/2020,PERLIS,18,1
25/5/2020,KEDAH,96,1
25/5/2020,PULAU PINANG,121,1
25/5/2020,PERAK,255,6
25/5/2020,SELANGOR,1829,15
25/5/2020,NEGERI SEMBILAN,792,7
25/5/2020,MELAKA,216,5
25/5/2020,JOHOR,671,19
25/5/2020,PAHANG,344,7
25/5/2020,TERENGGANU,111,1
25/5/2020,KELANTAN,156,3
25/5/2020,SABAH,343,5
25/5/2020,SARAWAK,549,17
25/5/2020,WP KUALA LUMPUR,1807,25
25/5/2020,WP PUTRAJAYA,93,0
25/5/2020,WP LABUAN,16,0
26/5/2020,PERLIS,18,1
26/5/2020,KEDAH,96,1
26/5/2020,PULAU PINANG,121,1
26/5/2020,PERAK,255,6
26/5/2020,SELANGOR,1838,15
26/5/2020,NEGERI SEMBILAN,793,7
26/5/2020,MELAKA,216,5
26/5/2020,JOHOR,671,19
26/5/2020,PAHANG,344,7
26/5/2020,TERENGGANU,111,1
26/5/2020,KELANTAN,156,3
26/5/2020,SABAH,343,5
26/5/2020,SARAWAK,549,17
26/5/2020,WP KUALA LUMPUR,1984,25
26/5/2020,WP PUTRAJAYA,93,0
26/5/2020,WP LABUAN,16,0
27/5/2020,PERLIS,18,1
27/5/2020,KEDAH,96,1
27/5/2020,PULAU PINANG,121,1
27/5/2020,PERAK,255,6
27/5/2020,SELANGOR,1843,15
27/5/2020,NEGERI SEMBILAN,793,7
27/5/2020,MELAKA,216,5
27/5/2020,JOHOR,671,19
27/5/2020,PAHANG,344,7
27/5/2020,TERENGGANU,111,1
27/5/2020,KELANTAN,156,3
27/5/2020,SABAH,344,5
27/5/2020,SARAWAK,552,17
27/5/2020,WP KUALA LUMPUR,1990,25
27/5/2020,WP PUTRAJAYA,93,0
27/5/2020,WP LABUAN,16,0
28/5/2020,PERLIS,18,1
28/5/2020,KEDAH,96,1
28/5/2020,PULAU PINANG,121,1
28/5/2020,PERAK,255,6
28/5/2020,SELANGOR,1845,15
28/5/2020,NEGERI SEMBILAN,793,7
28/5/2020,MELAKA,216,5
28/5/2020,JOHOR,671,19
28/5/2020,PAHANG,345,7
28/5/2020,TERENGGANU,111,1
28/5/2020,KELANTAN,156,3
28/5/2020,SABAH,344,5
28/5/2020,SARAWAK,552,17
28/5/2020,WP KUALA LUMPUR,1997,25
28/5/2020,WP PUTRAJAYA,93,0
28/5/2020,WP LABUAN,16,0
29/5/2020,PERLIS,18,1
29/5/2020,KEDAH,96,1
29/5/2020,PULAU PINANG,121,1
29/5/2020,PERAK,255,6
29/5/2020,SELANGOR,1873,15
29/5/2020,NEGERI SEMBILAN,852,7
29/5/2020,MELAKA,216,5
29/5/2020,JOHOR,674,19
29/5/2020,PAHANG,346,7
29/5/2020,TERENGGANU,111,1
29/5/2020,KELANTAN,156,3
29/5/2020,SABAH,346,5
29/5/2020,SARAWAK,552,17
29/5/2020,WP KUALA LUMPUR,2007,25
29/5/2020,WP PUTRAJAYA,93,0
29/5/2020,WP LABUAN,16,0
30/5/2020,PERLIS,18,1
30/5/2020,KEDAH,96,1
30/5/2020,PULAU PINANG,121,1
30/5/2020,PERAK,256,6
30/5/2020,SELANGOR,1878,15
30/5/2020,NEGERI SEMBILAN,856,7
30/5/2020,MELAKA,218,5
30/5/2020,JOHOR,675,19
30/5/2020,PAHANG,346,7
30/5/2020,TERENGGANU,111,1
30/5/2020,KELANTAN,156,3
30/5/2020,SABAH,346,5
30/5/2020,SARAWAK,552,17
30/5/2020,WP KUALA LUMPUR,2020,25
30/5/2020,WP PUTRAJAYA,97,0
30/5/2020,WP LABUAN,16,0
31/5/2020,PERLIS,18,1
31/5/2020,KEDAH,96,1
31/5/2020,PULAU PINANG,121,1
31/5/2020,PERAK,256,6
31/5/2020,SELANGOR,1909,15
31/5/2020,NEGERI SEMBILAN,858,7
31/5/2020,MELAKA,219,5
31/5/2020,JOHOR,675,19
31/5/2020,PAHANG,361,7
31/5/2020,TERENGGANU,111,1
31/5/2020,KELANTAN,156,3
31/5/2020,SABAH,346,5
31/5/2020,SARAWAK,552,17
31/5/2020,WP KUALA LUMPUR,2028,25
31/5/2020,WP PUTRAJAYA,97,0
31/5/2020,WP LABUAN,16,0
1/6/2020,PERLIS,18,1
1/6/2020,KEDAH,96,1
1/6/2020,PULAU PINANG,121,1
1/6/2020,PERAK,256,6
1/6/2020,SELANGOR,1920,15
1/6/2020,NEGERI SEMBILAN,860,7
1/6/2020,MELAKA,232,5
1/6/2020,JOHOR,675,19
1/6/2020,PAHANG,361,7
1/6/2020,TERENGGANU,111,1
1/6/2020,KELANTAN,156,3
1/6/2020,SABAH,347,5
1/6/2020,SARAWAK,552,17
1/6/2020,WP KUALA LUMPUR,2039,25
1/6/2020,WP PUTRAJAYA,97,0
1/6/2020,WP LABUAN,16,0
2/6/2020,PERLIS,18,1
2/6/2020,KEDAH,96,1
2/6/2020,PULAU PINANG,121,1
2/6/2020,PERAK,256,6
2/6/2020,SELANGOR,1926,15
2/6/2020,NEGERI SEMBILAN,866,7
2/6/2020,MELAKA,233,5
2/6/2020,JOHOR,676,19
2/6/2020,PAHANG,361,7
2/6/2020,TERENGGANU,111,1
2/6/2020,KELANTAN,156,3
2/6/2020,SABAH,348,5
2/6/2020,SARAWAK,552,17
2/6/2020,WP KUALA LUMPUR,2044,25
2/6/2020,WP PUTRAJAYA,97,0
2/6/2020,WP LABUAN,16,0
3/6/2020,PERLIS,18,1
3/6/2020,KEDAH,96,1
3/6/2020,PULAU PINANG,121,1
3/6/2020,PERAK,256,6
3/6/2020,SELANGOR,1928,15
3/6/2020,NEGERI SEMBILAN,902,7
3/6/2020,MELAKA,233,5
3/6/2020,JOHOR,676,19
3/6/2020,PAHANG,361,7
3/6/2020,TERENGGANU,111,1
3/6/2020,KELANTAN,156,3
3/6/2020,SABAH,348,5
3/6/2020,SARAWAK,552,17
3/6/2020,WP KUALA LUMPUR,2099,25
3/6/2020,WP PUTRAJAYA,97,0
3/6/2020,WP LABUAN,16,0
4/6/2020,PERLIS,18,1
4/6/2020,KEDAH,96,1
4/6/2020,PULAU PINANG,121,1
4/6/2020,PERAK,256,6
4/6/2020,SELANGOR,1930,15
4/6/2020,NEGERI SEMBILAN,905,7
4/6/2020,MELAKA,233,5
4/6/2020,JOHOR,676,19
4/6/2020,PAHANG,362,7
4/6/2020,TERENGGANU,111,1
4/6/2020,KELANTAN,156,3
4/6/2020,SABAH,348,5
4/6/2020,SARAWAK,552,17
4/6/2020,WP KUALA LUMPUR,2370,25
4/6/2020,WP PUTRAJAYA,97,0
4/6/2020,WP LABUAN,16,0
5/6/2020,PERLIS,18,1
5/6/2020,KEDAH,96,1
5/6/2020,PULAU PINANG,121,1
5/6/2020,PERAK,256,6
5/6/2020,SELANGOR,1939,15
5/6/2020,NEGERI SEMBILAN,905,7
5/6/2020,MELAKA,234,5
5/6/2020,JOHOR,676,20
5/6/2020,PAHANG,363,7
5/6/2020,TERENGGANU,111,1
5/6/2020,KELANTAN,156,3
5/6/2020,SABAH,351,5
5/6/2020,SARAWAK,553,17
5/6/2020,WP KUALA LUMPUR,2374,25
5/6/2020,WP PUTRAJAYA,97,0
5/6/2020,WP LABUAN,16,0
6/6/2020,PERLIS,18,1
6/6/2020,KEDAH,96,1
6/6/2020,PULAU PINANG,121,1
6/6/2020,PERAK,256,6
6/6/2020,SELANGOR,1953,16
6/6/2020,NEGERI SEMBILAN,910,7
6/6/2020,MELAKA,234,5
6/6/2020,JOHOR,676,20
6/6/2020,PAHANG,363,7
6/6/2020,TERENGGANU,111,1
6/6/2020,KELANTAN,156,3
6/6/2020,SABAH,351,5
6/6/2020,SARAWAK,555,17
6/6/2020,WP KUALA LUMPUR,2389,25
6/6/2020,WP PUTRAJAYA,97,0
6/6/2020,WP LABUAN,17,0
7/6/2020,PERLIS,18,1
7/6/2020,KEDAH,96,1
7/6/2020,PULAU PINANG,121,1
7/6/2020,PERAK,256,6
7/6/2020,SELANGOR,1965,16
7/6/2020,NEGERI SEMBILAN,911,7
7/6/2020,MELAKA,234,5
7/6/2020,JOHOR,676,20
7/6/2020,PAHANG,363,7
7/6/2020,TERENGGANU,111,1
7/6/2020,KELANTAN,156,3
7/6/2020,SABAH,353,5
7/6/2020,SARAWAK,555,17
7/6/2020,WP KUALA LUMPUR,2393,25
7/6/2020,WP PUTRAJAYA,97,0
7/6/2020,WP LABUAN,17,0
8/6/2020,PERLIS,18,1
8/6/2020,KEDAH,96,1
8/6/2020,PULAU PINANG,121,1
8/6/2020,PERAK,256,6
8/6/2020,SELANGOR,1968,16
8/6/2020,NEGERI SEMBILAN,911,7
8/6/2020,MELAKA,235,5
8/6/2020,JOHOR,676,20
8/6/2020,PAHANG,363,7
8/6/2020,TERENGGANU,111,1
8/6/2020,KELANTAN,156,3
8/6/2020,SABAH,355,5
8/6/2020,SARAWAK,555,17
8/6/2020,WP KUALA LUMPUR,2394,25
8/6/2020,WP PUTRAJAYA,97,0
8/6/2020,WP LABUAN,17,0
9/6/2020,PERLIS,18,1
9/6/2020,KEDAH,96,1
9/6/2020,PULAU PINANG,121,1
9/6/2020,PERAK,256,6
9/6/2020,SELANGOR,1971,16
9/6/2020,NEGERI SEMBILAN,911,7
9/6/2020,MELAKA,235,5
9/6/2020,JOHOR,676,20
9/6/2020,PAHANG,363,7
9/6/2020,TERENGGANU,111,1
9/6/2020,KELANTAN,156,3
9/6/2020,SABAH,355,5
9/6/2020,SARAWAK,555,17
9/6/2020,WP KUALA LUMPUR,2398,25
9/6/2020,WP PUTRAJAYA,97,0
9/6/2020,WP LABUAN,17,0
10/6/2020,PERLIS,18,1
10/6/2020,KEDAH,96,1
10/6/2020,PULAU PINANG,121,1
10/6/2020,PERAK,256,6
10/6/2020,SELANGOR,1971,17
10/6/2020,NEGERI SEMBILAN,911,7
10/6/2020,MELAKA,235,5
10/6/2020,JOHOR,677,20
10/6/2020,PAHANG,363,7
10/6/2020,TERENGGANU,111,1
10/6/2020,KELANTAN,156,3
10/6/2020,SABAH,355,5
10/6/2020,SARAWAK,556,17
10/6/2020,WP KUALA LUMPUR,2398,25
10/6/2020,WP PUTRAJAYA,97,0
10/6/2020,WP LABUAN,17,0
11/6/2020,PERLIS,18,1
11/6/2020,KEDAH,96,1
11/6/2020,PULAU PINANG,121,1
11/6/2020,PERAK,256,6
11/6/2020,SELANGOR,1974,17
11/6/2020,NEGERI SEMBILAN,927,7
11/6/2020,MELAKA,246,5
11/6/2020,JOHOR,677,20
11/6/2020,PAHANG,363,7
11/6/2020,TERENGGANU,111,1
11/6/2020,KELANTAN,156,3
11/6/2020,SABAH,355,5
11/6/2020,SARAWAK,556,17
11/6/2020,WP KUALA LUMPUR,2399,25
11/6/2020,WP PUTRAJAYA,97,0
11/6/2020,WP LABUAN,17,0
12/6/2020,PERLIS,18,1
12/6/2020,KEDAH,96,1
12/6/2020,PULAU PINANG,121,1
12/6/2020,PERAK,256,6
12/6/2020,SELANGOR,1987,17
12/6/2020,NEGERI SEMBILAN,931,7
12/6/2020,MELAKA,250,5
12/6/2020,JOHOR,678,20
12/6/2020,PAHANG,363,7
12/6/2020,TERENGGANU,111,1
12/6/2020,KELANTAN,156,3
12/6/2020,SABAH,356,6
12/6/2020,SARAWAK,556,17
12/6/2020,WP KUALA LUMPUR,2409,25
12/6/2020,WP PUTRAJAYA,97,0
12/6/2020,WP LABUAN,17,0
13/6/2020,PERLIS,18,1
13/6/2020,KEDAH,96,1
13/6/2020,PULAU PINANG,121,1
13/6/2020,PERAK,257,6
13/6/2020,SELANGOR,1994,17
