date,state,total_cases,total_deaths
22/3/2020,PULAU PINANG,58,1
22/3/2020,PERAK,66,0
22/3/2020,SELANGOR,309,0
22/3/2020,NEGERI SEMBILAN,78,0
22/3/2020,MELAKA,23,1
22/3/2020,JOHOR,145,1
22/3/2020,PAHANG,40,0
22/3/2020,TERENGGANU,32,0
22/3/2020,KELANTAN,63,1
22/3/2020,SABAH,158,1
22/3/2020,SARAWAK,76,3
22/3/2020,WP KUALA LUMPUR,183,1
22/3/2020,WP PUTRAJAYA,9,0
22/3/2020,WP LABUAN,5,0
23/3/2020,PERLIS,9,1
23/3/2020,KEDAH,59,0
23/3/2020,PULAU PINANG,66,1
23/3/2020,PERAK,81,0
23/3/2020,SELANGOR,354,0
23/3/2020,NEGERI SEMBILAN,94,0
23/3/2020,MELAKA,25,1
23/3/2020,JOHOR,158,2
23/3/2020,PAHANG,56,0
23/3/2020,TERENGGANU,38,0
23/3/2020,KELANTAN,71,1
23/3/2020,SABAH,169,1
23/3/2020,SARAWAK,78,5
23/3/2020,WP KUALA LUMPUR,242,2
23/3/2020,WP PUTRAJAYA,13,0
23/3/2020,WP LABUAN,5,0
24/3/2020,PERLIS,9,1
24/3/2020,KEDAH,64,0
24/3/2020,PULAU PINANG,68,1
24/3/2020,PERAK,98,0
24/3/2020,SELANGOR,381,0
24/3/2020,NEGERI SEMBILAN,109,0
24/3/2020,MELAKA,31,1
24/3/2020,JOHOR,162,3
24/3/2020,PAHANG,56,0
24/3/2020,TERENGGANU,38,0
24/3/2020,KELANTAN,78,1
24/3/2020,SABAH,170,1
24/3/2020,SARAWAK,83,5
24/3/2020,WP KUALA LUMPUR,257,2
24/3/2020,WP PUTRAJAYA,15,0
24/3/2020,WP LABUAN,5,0
25/3/2020,PERLIS,10,1
25/3/2020,KEDAH,69,0
25/3/2020,PULAU PINANG,70,1
25/3/2020,PERAK,128,0
25/3/2020,SELANGOR,435,0
25/3/2020,NEGERI SEMBILAN,123,0
25/3/2020,MELAKA,33,1
25/3/2020,JOHOR,196,6
25/3/2020,PAHANG,64,0
25/3/2020,TERENGGANU,38,0
25/3/2020,KELANTAN,84,1
25/3/2020,SABAH,170,1
25/3/2020,SARAWAK,85,5
25/3/2020,WP KUALA LUMPUR,270,3
25/3/2020,WP PUTRAJAYA,16,0
25/3/2020,WP LABUAN,5,0
26/3/2020,PERLIS,10,1
26/3/2020,KEDAH,72,1
26/3/2020,PULAU PINANG,74,1
26/3/2020,PERAK,151,1
26/3/2020,SELANGOR,510,0
26/3/2020,NEGERI SEMBILAN,132,0
26/3/2020,MELAKA,33,1
26/3/2020,JOHOR,239,7
26/3/2020,PAHANG,66,0
26/3/2020,TERENGGANU,39,0
26/3/2020,KELANTAN,94,2
26/3/2020,SABAH,172,1
26/3/2020,SARAWAK,95,5
26/3/2020,WP KUALA LUMPUR,321,3
26/3/2020,WP PUTRAJAYA,18,0
26/3/2020,WP LABUAN,5,0
27/3/2020,PERLIS,10,1
27/3/2020,KEDAH,73,1
27/3/2020,PULAU PINANG,80,1
27/3/2020,PERAK,159,2
27/3/2020,SELANGOR,546,1
27/3/2020,NEGERI SEMBILAN,138,0
27/3/2020,MELAKA,33,1
27/3/2020,JOHOR,259,7
27/3/2020,PAHANG,70,0
27/3/2020,TERENGGANU,41,0
27/3/2020,KELANTAN,98,2
27/3/2020,SABAH,182,1
27/3/2020,SARAWAK,110,5
27/3/2020,WP KUALA LUMPUR,323,4
27/3/2020,WP PUTRAJAYA,34,0
27/3/2020,WP LABUAN,5,0
28/3/2020,PERLIS,10,1
28/3/2020,KEDAH,74,1
28/3/2020,PULAU PINANG,86,1
28/3/2020,PERAK,165,2
28/3/2020,SELANGOR,579,1
28/3/2020,NEGERI SEMBILAN,153,0
28/3/2020,MELAKA,42,1
28/3/2020,JOHOR,285,8
28/3/2020,PAHANG,84,0
28/3/2020,TERENGGANU,45,0
